ticker,announcement_date,announcement_date_close_price,price_at_day_1,absolute_price_difference_at_day_1,percent_price_difference_at_day_1,price_at_day_3,absolute_price_difference_at_day_3,percent_price_difference_at_day_3,price_at_day_5,absolute_price_difference_at_day_5,percent_price_difference_at_day_5,price_at_day_10,absolute_price_difference_at_day_10,percent_price_difference_at_day_10,price_at_day_30,absolute_price_difference_at_day_30,percent_price_difference_at_day_30
expe,2016-10-27 00:00:00,126.42,131.64,5.22,3.97,125.99,-0.43,-0.34,125.29,-1.13,-0.9,123.63,-2.79,-2.26,123.0,-3.42,-2.78
expe,2016-07-28 00:00:00,119.27,116.65,-2.62,-2.25,113.55,-5.72,-5.04,113.51,-5.76,-5.07,114.8,-4.47,-3.89,114.07,-5.2,-4.56
expe,2016-04-28 00:00:00,106.99,115.77,8.78,7.58,115.97,8.98,7.74,112.55,5.56,4.94,112.94,5.95,5.27,109.11,2.12,1.94
expe,2016-02-10 00:00:00,94.35,103.37,9.02,8.73,102.25,7.9,7.73,110.88,16.53,14.91,104.4,10.05,9.63,108.99,14.64,13.43
expe,2015-10-29 00:00:00,127.06,136.3,9.24,6.78,136.39,9.33,6.84,137.31,10.25,7.46,127.94,0.88,0.69,125.61,-1.45,-1.15
expe,2015-07-30 00:00:00,107.61,121.44,13.83,11.39,124.56,16.95,13.61,121.6,13.99,11.5,120.66,13.05,10.82,115.94,8.33,7.18
expe,2015-04-30 00:00:00,94.23,101.69,7.46,7.34,98.77,4.54,4.6,100.97,6.74,6.68,104.14,9.91,9.52,107.87,13.64,12.64
expe,2015-02-05 00:00:00,88.0,77.87,-10.13,-13.01,78.19,-9.81,-12.55,89.57,1.57,1.75,91.3,3.3,3.61,94.68,6.68,7.06
expe,2014-10-30 00:00:00,80.73,84.97,4.24,4.99,83.89,3.16,3.77,84.06,3.33,3.96,86.49,5.76,6.66,87.32,6.59,7.55
expe,2014-07-31 00:00:00,79.42,84.46,5.04,5.97,84.35,4.93,5.84,83.52,4.1,4.91,84.93,5.51,6.49,87.17,7.75,8.89
expe,2014-05-01 00:00:00,73.87,71.15,-2.72,-3.82,70.51,-3.36,-4.77,68.44,-5.43,-7.93,69.78,-4.09,-5.86,73.98,0.11,0.15
expe,2014-02-06 00:00:00,65.14,74.45,9.31,12.51,74.79,9.65,12.9,76.69,11.55,15.06,79.71,14.57,18.28,75.21,10.07,13.39
expe,2013-10-30 00:00:00,49.96,58.97,9.01,15.28,60.24,10.28,17.07,59.81,9.85,16.47,61.72,11.76,19.05,62.31,12.35,19.82
expe,2013-07-25 00:00:00,65.0,47.2,-17.8,-37.71,47.49,-17.51,-36.87,47.2,-17.8,-37.71,50.9,-14.1,-27.7,48.18,-16.82,-34.91
expe,2013-04-25 00:00:00,64.97,58.56,-6.41,-10.95,55.84,-9.13,-16.35,56.77,-8.2,-14.44,55.97,-9.0,-16.08,55.6,-9.37,-16.85
expe,2013-02-05 00:00:00,67.5,65.7,-1.8,-2.74,65.65,-1.85,-2.82,65.55,-1.95,-2.97,64.42,-3.08,-4.78,62.65,-4.85,-7.74
expe,2012-10-25 00:00:00,51.25,59.06,7.81,13.22,59.06,7.81,13.22,59.68,8.43,14.13,58.19,6.94,11.93,59.68,8.43,14.13
expe,2012-07-26 00:00:00,45.71,54.9,9.19,16.74,56.99,11.28,19.79,56.8,11.09,19.52,55.96,10.25,18.32,53.38,7.67,14.37
expe,2012-04-26 00:00:00,32.63,40.31,7.68,19.05,41.64,9.01,21.64,41.43,8.8,21.24,40.91,8.28,20.24,46.03,13.4,29.11
expe,2012-02-09 00:00:00,34.16,33.54,-0.62,-1.85,33.92,-0.24,-0.71,33.27,-0.89,-2.68,33.25,-0.91,-2.74,34.22,0.06,0.18
expe,2011-10-27 00:00:00,58.18,54.56,-3.62,-6.63,54.76,-3.42,-6.25,56.28,-1.9,-3.38,54.94,-3.24,-5.9,56.08,-2.1,-3.74
expe,2011-07-28 00:00:00,57.98,63.38,5.4,8.52,60.9,2.92,4.79,57.74,-0.24,-0.42,56.86,-1.12,-1.97,60.0,2.02,3.37
expe,2011-04-28 00:00:00,49.36,50.04,0.68,1.36,49.96,0.6,1.2,49.46,0.1,0.2,50.24,0.88,1.75,54.64,5.28,9.66
expe,2011-02-10 00:00:00,51.38,42.62,-8.76,-20.55,43.42,-7.96,-18.33,42.02,-9.36,-22.28,40.54,-10.84,-26.74,43.72,-7.66,-17.52
hubs,2017-11-08 00:00:00,84.4,79.55,-4.85,-6.1,79.95,-4.45,-5.57,77.5,-6.9,-8.9,81.35,-3.05,-3.75,,,
hubs,2017-08-02 00:00:00,70.1,72.1,2.0,2.77,70.8,0.7,0.99,69.3,-0.8,-1.15,70.65,0.55,0.78,72.7,2.6,3.58
hubs,2017-05-02 00:00:00,66.65,71.85,5.2,7.24,70.65,4.0,5.66,69.85,3.2,4.58,70.75,4.1,5.8,70.55,3.9,5.53
hubs,2017-02-14 00:00:00,57.4,58.75,1.35,2.3,60.0,2.6,4.33,61.8,4.4,7.12,59.5,2.1,3.53,59.3,1.9,3.2
hubs,2016-11-02 00:00:00,48.9,49.95,1.05,2.1,54.45,5.55,10.19,56.75,7.85,13.83,57.6,8.7,15.1,48.7,-0.2,-0.41
hubs,2016-08-03 00:00:00,50.57,56.7,6.13,10.81,57.74,7.17,12.42,59.26,8.69,14.66,56.94,6.37,11.19,54.5,3.93,7.21
hubs,2016-05-04 00:00:00,46.25,43.69,-2.56,-5.86,42.93,-3.32,-7.73,44.87,-1.38,-3.08,44.17,-2.08,-4.71,48.44,2.19,4.52
hubs,2016-02-10 00:00:00,29.04,33.02,3.98,12.05,32.22,3.18,9.87,34.34,5.3,15.43,36.53,7.49,20.5,45.4,16.36,36.04
hubs,2015-11-04 00:00:00,53.11,53.64,0.53,0.99,52.95,-0.16,-0.3,51.7,-1.41,-2.73,52.91,-0.2,-0.38,56.32,3.21,5.7
hubs,2015-08-06 00:00:00,50.51,49.66,-0.85,-1.71,47.84,-2.67,-5.58,46.23,-4.28,-9.26,45.98,-4.53,-9.85,50.58,0.07,0.14
hubs,2015-05-06 00:00:00,40.25,47.9,7.65,15.97,46.06,5.81,12.61,49.05,8.8,17.94,52.18,11.93,22.86,51.6,11.35,22.0
hubs,2015-02-11 00:00:00,34.42,37.07,2.65,7.15,43.29,8.87,20.49,41.0,6.58,16.05,41.44,7.02,16.94,38.0,3.58,9.42
pcln,2017-11-06 00:00:00,1903.0,1645.72,-257.28,-15.63,1703.14,-199.86,-11.73,1722.15,-180.85,-10.5,1754.02,-148.98,-8.49,,,
pcln,2017-08-08 00:00:00,2049.0,1906.8,-142.2,-7.46,1854.17,-194.83,-10.51,1860.84,-188.16,-10.11,1818.2,-230.8,-12.69,1859.78,-189.22,-10.17
pcln,2017-05-09 00:00:00,1911.13,1824.77,-86.36,-4.73,1818.18,-92.95,-5.11,1829.8,-81.33,-4.44,1827.94,-83.19,-4.55,1850.64,-60.49,-3.27
pcln,2017-02-27 00:00:00,1632.01,1724.13,92.12,5.34,1734.37,102.36,5.9,1730.21,98.2,5.68,1767.12,135.11,7.65,1775.97,143.96,8.11
pcln,2016-11-07 00:00:00,1480.33,1578.13,97.8,6.2,1554.32,73.99,4.76,1489.18,8.85,0.59,1524.18,43.85,2.88,1488.83,8.5,0.57
pcln,2016-08-04 00:00:00,1359.99,1414.22,54.23,3.83,1407.01,47.02,3.34,1406.92,46.93,3.34,1443.07,83.08,5.76,1457.22,97.23,6.67
pcln,2016-05-04 00:00:00,1253.04,1240.85,-12.19,-0.98,1244.92,-8.12,-0.65,1267.31,14.27,1.13,1267.27,14.23,1.12,1305.42,52.38,4.01
pcln,2016-02-17 00:00:00,1235.56,1251.95,16.39,1.31,1288.42,52.86,4.1,1264.21,28.65,2.27,1301.37,65.81,5.06,1317.03,81.47,6.19
pcln,2015-11-09 00:00:00,1311.15,1323.54,12.39,0.94,1314.01,2.86,0.22,1266.87,-44.28,-3.5,1264.32,-46.83,-3.7,1275.71,-35.44,-2.78
pcln,2015-08-05 00:00:00,1351.21,1351.8,0.59,0.04,1323.75,-27.46,-2.07,1294.71,-56.5,-4.36,1291.35,-59.86,-4.64,1320.48,-30.73,-2.33
pcln,2015-05-07 00:00:00,1213.49,1204.76,-8.73,-0.72,1183.47,-30.02,-2.54,1190.09,-23.4,-1.97,1212.63,-0.86,-0.07,1173.96,-39.53,-3.37
pcln,2015-02-19 00:00:00,1218.05,1216.23,-1.82,-0.15,1219.79,1.74,0.14,1241.25,23.2,1.87,1231.9,13.85,1.12,1160.44,-57.61,-4.96
pcln,2014-11-04 00:00:00,1097.7,1095.34,-2.36,-0.22,1094.61,-3.09,-0.28,1167.36,69.66,5.97,1166.83,69.13,5.92,1045.84,-51.86,-4.96
pcln,2014-08-11 00:00:00,1309.28,1294.36,-14.92,-1.15,1284.81,-24.47,-1.9,1276.18,-33.1,-2.59,1277.01,-32.27,-2.53,1165.79,-143.49,-12.31
pcln,2014-05-08 00:00:00,1108.0,1135.91,27.91,2.46,1159.91,51.91,4.48,1136.25,28.25,2.49,1178.06,70.06,5.95,1206.83,98.83,8.19
pcln,2014-02-20 00:00:00,1283.0,1315.65,32.65,2.48,1353.49,70.49,5.21,1357.79,74.79,5.51,1364.4,81.4,5.97,1237.45,-45.55,-3.68
pcln,2013-11-07 00:00:00,1022.89,1073.2,50.31,4.69,1099.49,76.6,6.97,1137.44,114.55,10.07,1159.11,136.22,11.75,1191.57,168.68,14.16
pcln,2013-08-08 00:00:00,933.75,969.89,36.14,3.73,953.61,19.86,2.08,938.79,5.04,0.54,952.15,18.4,1.93,1000.62,66.87,6.68
pcln,2013-05-09 00:00:00,737.5,765.41,27.91,3.65,791.14,53.64,6.78,800.08,62.58,7.82,803.6,66.1,8.23,815.69,78.19,9.59
pcln,2013-02-26 00:00:00,678.49,695.91,17.42,2.5,695.62,17.13,2.46,718.41,39.92,5.56,722.04,43.55,6.03,696.13,17.64,2.53
pcln,2012-11-01 00:00:00,586.1,634.74,48.64,7.66,644.9,58.8,9.12,627.87,41.77,6.65,617.52,31.42,5.09,613.08,26.98,4.4
pcln,2012-08-07 00:00:00,679.8,562.32,-117.48,-20.89,563.16,-116.64,-20.71,564.66,-115.14,-20.39,585.76,-94.04,-16.05,640.73,-39.07,-6.1
pcln,2012-05-09 00:00:00,718.95,681.11,-37.84,-5.56,663.18,-55.77,-8.41,662.24,-56.71,-8.56,673.12,-45.83,-6.81,670.82,-48.13,-7.17
pcln,2012-02-27 00:00:00,591.54,632.76,41.22,6.51,637.32,45.78,7.18,642.69,51.15,7.96,650.95,59.41,9.13,764.75,173.21,22.65
pcln,2011-11-07 00:00:00,509.0,552.85,43.85,7.93,528.36,19.36,3.66,534.4,25.4,4.75,477.65,-31.35,-6.56,459.73,-49.27,-10.72
pcln,2011-08-04 00:00:00,483.34,527.81,44.47,8.43,517.42,34.08,6.59,500.16,16.82,3.36,458.8,-24.54,-5.35,524.0,40.66,7.76
pcln,2011-05-05 00:00:00,533.97,519.03,-14.94,-2.88,528.5,-5.47,-1.04,523.96,-10.01,-1.91,522.1,-11.87,-2.27,461.71,-72.26,-15.65
pcln,2011-02-23 00:00:00,425.99,462.34,36.35,7.86,453.88,27.89,6.14,449.18,23.19,5.16,468.52,42.53,9.08,506.27,80.28,15.86
shop,2017-10-31 00:00:00,99.49,96.2,-3.29,-3.42,98.71,-0.78,-0.79,99.71,0.22,0.22,98.97,-0.52,-0.53,,,
shop,2017-08-01 00:00:00,104.08,98.35,-5.73,-5.83,96.28,-7.8,-8.1,96.51,-7.57,-7.84,93.15,-10.93,-11.73,120.5,16.42,13.63
shop,2017-05-02 00:00:00,82.98,81.72,-1.26,-1.54,85.53,2.55,2.98,89.15,6.17,6.92,94.93,11.95,12.59,86.93,3.95,4.54
shop,2017-02-15 00:00:00,60.61,60.97,0.36,0.59,61.52,0.91,1.48,63.59,2.98,4.69,59.65,-0.96,-1.61,72.72,12.11,16.65
shop,2016-11-02 00:00:00,43.57,40.41,-3.16,-7.82,40.15,-3.42,-8.52,40.58,-2.99,-7.37,40.36,-3.21,-7.95,41.75,-1.82,-4.36
shop,2016-08-03 00:00:00,36.79,36.85,0.06,0.16,38.31,1.52,3.97,39.29,2.5,6.36,38.74,1.95,5.03,40.9,4.11,10.05
shop,2016-05-04 00:00:00,29.61,28.52,-1.09,-3.82,26.46,-3.15,-11.9,26.27,-3.34,-12.71,26.34,-3.27,-12.41,28.66,-0.95,-3.31
shop,2016-02-17 00:00:00,22.37,20.59,-1.78,-8.64,21.21,-1.16,-5.47,21.02,-1.35,-6.42,24.36,1.99,8.17,27.77,5.4,19.45
shop,2015-11-04 00:00:00,31.75,31.62,-0.13,-0.41,30.23,-1.52,-5.03,28.18,-3.57,-12.67,28.0,-3.75,-13.39,26.21,-5.54,-21.14
shop,2015-07-30 00:00:00,38.13,37.39,-0.74,-1.98,38.41,0.28,0.73,36.28,-1.85,-5.1,35.31,-2.82,-7.99,25.77,-12.36,-47.96
trip,2017-11-07 00:00:00,30.35,31.66,1.31,4.14,31.19,0.84,2.69,30.06,-0.29,-0.96,32.81,2.46,7.5,,,
trip,2017-08-09 00:00:00,40.54,39.71,-0.83,-2.09,41.48,0.94,2.27,40.17,-0.37,-0.92,41.34,0.8,1.94,43.92,3.38,7.7
trip,2017-05-10 00:00:00,47.99,45.63,-2.36,-5.17,46.67,-1.32,-2.83,43.97,-4.02,-9.14,40.8,-7.19,-17.62,35.82,-12.17,-33.98
trip,2017-02-16 00:00:00,46.92,47.06,0.14,0.3,46.84,-0.08,-0.17,43.46,-3.46,-7.96,40.82,-6.1,-14.94,43.31,-3.61,-8.34
trip,2016-11-09 00:00:00,52.63,51.83,-0.8,-1.54,48.8,-3.83,-7.85,50.4,-2.23,-4.42,50.79,-1.84,-3.62,46.28,-6.35,-13.72
trip,2016-08-04 00:00:00,63.59,60.81,-2.78,-4.57,61.1,-2.49,-4.08,61.59,-2.0,-3.25,62.23,-1.36,-2.19,61.82,-1.77,-2.86
trip,2016-05-10 00:00:00,66.1,65.67,-0.43,-0.65,64.46,-1.64,-2.54,65.79,-0.31,-0.47,66.07,-0.03,-0.05,64.51,-1.59,-2.46
trip,2016-02-11 00:00:00,61.07,59.9,-1.17,-1.95,63.32,2.25,3.55,63.07,2.0,3.17,62.05,0.98,1.58,62.23,1.16,1.86
trip,2015-11-05 00:00:00,83.11,77.42,-5.69,-7.35,78.35,-4.76,-6.08,79.15,-3.96,-5.0,84.55,1.44,1.7,85.38,2.27,2.66
trip,2015-07-23 00:00:00,93.37,80.86,-12.51,-15.47,79.34,-14.03,-17.68,78.69,-14.68,-18.66,76.12,-17.25,-22.66,69.47,-23.9,-34.4
trip,2015-05-06 00:00:00,76.8,78.47,1.67,2.13,81.63,4.83,5.92,81.15,4.35,5.36,79.77,2.97,3.72,87.65,10.85,12.38
trip,2015-02-11 00:00:00,67.27,82.4,15.13,18.36,84.81,17.54,20.68,85.58,18.31,21.4,89.17,21.9,24.56,84.18,16.91,20.09
trip,2014-11-04 00:00:00,83.79,71.95,-11.84,-16.46,73.65,-10.14,-13.77,69.99,-13.8,-19.72,70.21,-13.58,-19.34,71.21,-12.58,-17.67
trip,2014-07-23 00:00:00,107.36,101.79,-5.57,-5.47,99.3,-8.06,-8.12,100.02,-7.34,-7.34,94.03,-13.33,-14.18,98.28,-9.08,-9.24
trip,2014-05-06 00:00:00,81.37,83.99,2.62,3.12,84.58,3.21,3.8,86.09,4.72,5.48,85.87,4.5,5.24,104.57,23.2,22.19
trip,2014-02-11 00:00:00,84.2,90.27,6.07,6.72,91.25,7.05,7.73,93.35,9.15,9.8,101.04,16.84,16.67,96.48,12.28,12.73
trip,2013-07-24 00:00:00,61.14,71.1,9.96,14.01,73.29,12.15,16.58,75.02,13.88,18.5,77.99,16.85,21.61,74.74,13.6,18.2
trip,2013-05-07 00:00:00,55.01,52.49,-2.52,-4.8,53.84,-1.17,-2.17,58.01,3.0,5.17,62.34,7.33,11.76,63.85,8.84,13.84
trip,2013-02-13 00:00:00,46.9,43.55,-3.35,-7.69,44.42,-2.48,-5.58,42.76,-4.14,-9.68,45.27,-1.63,-3.6,52.2,5.3,10.15
trip,2012-11-01 00:00:00,29.41,35.12,5.71,16.26,33.83,4.42,13.07,34.17,4.76,13.93,36.6,7.19,19.64,42.71,13.3,31.14
trip,2012-07-24 00:00:00,43.47,36.18,-7.29,-20.15,35.41,-8.06,-22.76,37.41,-6.06,-16.2,38.66,-4.81,-12.44,34.65,-8.82,-25.45
trip,2012-05-01 00:00:00,36.53,42.63,6.1,14.31,40.2,3.67,9.13,41.2,4.67,11.33,42.65,6.12,14.35,45.02,8.49,18.86
wix,2017-11-08 00:00:00,60.03,56.6,-3.43,-6.06,55.0,-5.03,-9.15,54.1,-5.93,-10.96,55.2,-4.83,-8.75,,,
wix,2017-07-27 00:00:00,73.6,63.9,-9.7,-15.18,62.35,-11.25,-18.04,62.75,-10.85,-17.29,56.9,-16.7,-29.35,66.15,-7.45,-11.26
wix,2017-05-10 00:00:00,77.45,74.2,-3.25,-4.38,78.4,0.95,1.21,72.15,-5.3,-7.35,75.35,-2.1,-2.79,72.3,-5.15,-7.12
wix,2017-02-15 00:00:00,61.5,62.95,1.45,2.3,63.85,2.35,3.68,65.55,4.05,6.18,62.75,1.25,1.99,66.75,5.25,7.87
wix,2016-11-10 00:00:00,47.85,49.45,1.6,3.24,46.1,-1.75,-3.8,48.65,0.8,1.64,52.1,4.25,8.16,43.35,-4.5,-10.38
wix,2016-07-27 00:00:00,36.52,35.91,-0.61,-1.7,35.98,-0.54,-1.5,35.27,-1.25,-3.54,38.38,1.86,4.85,44.44,7.92,17.82
wix,2016-05-04 00:00:00,24.96,25.4,0.44,1.73,25.69,0.73,2.84,26.51,1.55,5.85,25.95,0.99,3.82,28.04,3.08,10.98
wix,2016-02-10 00:00:00,17.85,17.46,-0.39,-2.23,19.03,1.18,6.2,19.6,1.75,8.93,19.25,1.4,7.27,19.59,1.74,8.88
wix,2015-11-04 00:00:00,22.63,22.74,0.11,0.48,23.14,0.51,2.2,23.06,0.43,1.86,23.87,1.24,5.19,23.35,0.72,3.08
wix,2015-08-05 00:00:00,22.87,21.71,-1.16,-5.34,22.45,-0.42,-1.87,21.74,-1.13,-5.2,22.41,-0.46,-2.05,19.5,-3.37,-17.28
wix,2015-05-06 00:00:00,22.46,23.52,1.06,4.51,23.51,1.05,4.47,23.84,1.38,5.79,25.39,2.93,11.54,24.08,1.62,6.73
wix,2015-02-11 00:00:00,19.21,19.1,-0.11,-0.58,18.84,-0.37,-1.96,18.86,-0.35,-1.86,18.91,-0.3,-1.59,18.34,-0.87,-4.74
wix,2014-11-05 00:00:00,17.69,17.06,-0.63,-3.69,17.49,-0.2,-1.14,18.98,1.29,6.8,19.99,2.3,11.51,19.9,2.21,11.11
wix,2014-08-06 00:00:00,17.62,16.78,-0.84,-5.01,16.5,-1.12,-6.79,16.79,-0.83,-4.94,16.9,-0.72,-4.26,17.68,0.06,0.34
wix,2014-05-13 00:00:00,16.84,16.22,-0.62,-3.82,15.43,-1.41,-9.14,15.62,-1.22,-7.81,16.65,-0.19,-1.14,20.04,3.2,15.97
wix,2014-02-12 00:00:00,29.81,29.45,-0.36,-1.22,29.04,-0.77,-2.65,27.94,-1.87,-6.69,31.21,1.4,4.49,22.41,-7.4,-33.02
yelp,2017-11-01 00:00:00,46.03,45.98,-0.05,-0.11,45.65,-0.38,-0.83,45.11,-0.92,-2.04,45.59,-0.44,-0.97,,,
yelp,2017-08-03 00:00:00,31.37,40.05,8.68,21.67,41.69,10.32,24.75,40.93,9.56,23.36,41.43,10.06,24.28,42.91,11.54,26.89
yelp,2017-05-09 00:00:00,34.7,28.33,-6.37,-22.48,28.7,-6.0,-20.91,28.52,-6.18,-21.67,27.78,-6.92,-24.91,29.44,-5.26,-17.87
yelp,2017-02-09 00:00:00,41.49,35.83,-5.66,-15.8,35.85,-5.64,-15.73,34.77,-6.72,-19.33,33.47,-8.02,-23.96,32.77,-8.72,-26.61
yelp,2016-11-02 00:00:00,35.71,35.56,-0.15,-0.42,37.21,1.5,4.03,38.29,2.58,6.74,36.51,0.8,2.19,35.31,-0.4,-1.13
yelp,2016-08-09 00:00:00,32.64,36.83,4.19,11.38,38.48,5.84,15.18,37.54,4.9,13.05,37.62,4.98,13.24,37.22,4.58,12.31
yelp,2016-02-08 00:00:00,16.06,15.69,-0.37,-2.36,15.23,-0.83,-5.45,15.56,-0.5,-3.21,19.07,3.01,15.78,20.5,4.44,21.66
yelp,2015-10-28 00:00:00,22.07,22.95,0.88,3.83,23.8,1.73,7.27,24.42,2.35,9.62,24.98,2.91,11.65,30.0,7.93,26.43
yelp,2015-07-28 00:00:00,33.51,25.06,-8.45,-33.72,26.4,-7.11,-26.93,26.18,-7.33,-28.0,25.35,-8.16,-32.19,23.98,-9.53,-39.74
yelp,2015-04-29 00:00:00,51.28,39.39,-11.89,-30.19,39.61,-11.67,-29.46,38.22,-13.06,-34.17,47.84,-3.44,-7.19,44.46,-6.82,-15.34
yelp,2015-02-05 00:00:00,57.47,45.11,-12.36,-27.4,44.66,-12.81,-28.68,47.63,-9.84,-20.66,47.34,-10.13,-21.4,45.18,-12.29,-27.2
yelp,2014-10-22 00:00:00,70.23,57.17,-13.06,-22.84,57.21,-13.02,-22.76,56.68,-13.55,-23.91,57.65,-12.58,-21.82,54.77,-15.46,-28.23
yelp,2014-07-30 00:00:00,75.6,67.16,-8.44,-12.57,68.57,-7.03,-10.25,67.78,-7.82,-11.54,74.46,-1.14,-1.53,82.64,7.04,8.52
yelp,2014-04-30 00:00:00,58.32,64.02,5.7,8.9,60.19,1.87,3.11,52.74,-5.58,-10.58,54.61,-3.71,-6.79,65.77,7.45,11.33
